@Ordspråk|Vad är
Lake Eyre~Kati Thanda|Australiens lägsta naturliga punkt ligger i denna stora saltsjö som bara periodvis fylls med betydande mängder vatten.
Great Dividing Range|Den långa bergskedjan löper längs stora delar av Australiens östra kust och påverkar klimat och flodsystem.
Fiordland Sounds|Milford, Doubtful och andra djupa havsvikar i sydvästra Nya Zeeland skapades av glaciärer och omges av extremt nederbördsrika berg.

@Världens öknar|Vad är
Vita öknen|Kalkstensformationer som liknar svampar och torn reser sig ur ett ljust ökenlandskap i västra Egypten.
Arabian Desert|Stora sand- och stenöknar täcker huvuddelen av Arabiska halvön och omfattar bland annat Rub al-Khali.
Mojaveöknen|Death Valley och den välkända joshuaträdet finns i denna öken i sydvästra USA.
Sonoraöknen|Den stora saguaro-kaktusen är typisk för denna öken som sträcker sig genom Arizona, Kalifornien och nordvästra Mexiko.
Tharöknen|Den tätt befolkade öknen ligger huvudsakligen i nordvästra Indien och östra Pakistan nära Indusområdet.
Rub al-Khali|Namnet betyder ungefär ”det tomma kvarteret” och syftar på ett enormt sammanhängande sandområde på Arabiska halvön.
Karakum|Detta ökenområde täcker stora delar av Turkmenistan och rymmer bland annat den brinnande gaskratern vid Darvaza.
Great Salt Lake Desert|Det mycket torra saltområdet i Utah väster om en stor saltsjö rymmer bland annat Bonneville Salt Flats.
Negev|Södra Israel domineras av denna steniga ökenregion som sträcker sig mot Akabaviken.
Great Victoria Desert|Australiens största öken ligger i kontinentens södra inland mellan Western Australia och South Australia.
Great Sandy Desert|Den stora australiska öknen ligger i nordväst och gränsar bland annat till Kimberleyregionen.
Simpsonöknen|Parallella röda sanddyner sträcker sig över stora delar av denna australiska inlandöken i flera delstater.
Patagoniska öknen|Det torra området öster om Anderna i Argentina är den största öknen i Sydamerika efter arealdefinitioner som inkluderar kallöken.
Dasht-e Kavir|Den stora saltöknen ligger på Irans centrala platå och innehåller vidsträckta saltslätter och mycket torra bassänger.
Dasht-e Lut|Den iranska öknen har registrerat några av jordens högsta markytetemperaturer från satellit och är känd för vindformade kaluter.
Chihuahuan Desert|Den största öknen i Nordamerika ligger huvudsakligen i Mexiko men sträcker sig in i Texas och New Mexico.
Great Basin Desert|Denna kalla öken i västra USA ligger mellan Sierra Nevada och Klippiga bergen och har många slutna avrinningsområden.
Namib sandhav|Enorma röda sanddyner möter Atlantkusten i denna extremt torra del av sydvästra Afrika.
Danakilöknen|Det heta området i Afrikas horn har saltslätter, vulkaner och platser långt under havsnivån.
Registanöknen|Denna sandiga ökenregion ligger i södra Afghanistan nära gränsen mot Pakistan.
Sechuraöknen|Den torra kustöknen i nordvästra Peru påverkas starkt av den kalla Humboldtströmmen och periodiska El Niño-regn.
Tabernasöknen|Ett torrt landskap i sydöstra Spanien har använts som inspelningsplats för många westernfilmer och kallas ofta Europas enda egentliga öken.
Coloradoöknen|Denna del av Sonoraöknen omfattar bland annat Coachella Valley och Salton Sea i södra Kalifornien.
Taklamakan sandhav|De stora rörliga sanddynerna i västra Kina ligger i en bassäng omgiven av några av Asiens högsta berg.
Bardenas Reales|Halvökenlandskapet i norra Spanien har eroderade lerformationer och ligger i Navarra nära Ebrodalen.

@Världens bergskedjor|Vad är
Pindosbergen|Kedjan löper genom Grekland och Albanien och brukar beskrivas som ryggraden på det grekiska fastlandet.
Zagrosbergen|Den långa bergskedjan löper genom västra Iran och delar av Irak och bildades genom kollision mellan tektoniska plattor.
Qilianbergen|Kedjan ligger mellan Tibetplatån och Hexikorridoren i nordvästra Kina.
Appalacherna|Den gamla bergskedjan i östra Nordamerika är mycket äldre och mer nedsliten än Klippiga bergen.
Uralbergen|Den nord-sydliga kedjan i Ryssland används traditionellt som en del av gränsen mellan Europa och Asien.
Kaukasus|Bergskedjan mellan Svarta och Kaspiska havet innehåller Elbrus och ligger mellan Ryssland och länderna i södra Kaukasien.
Dinariska alperna|Denna kalkrika bergskedja löper längs västra Balkan parallellt med Adriatiska havet.
Apenninerna|Denna bergskedja löper som en ryggrad längs den italienska halvön från norr mot Kalabrien.
Sayanbergen|Dessa berg ligger i södra Sibirien nära gränsen mot Mongoliet och bildar ett stort höglandsområde.
Kantabriska bergen|Denna kedja löper längs norra Spanien och skiljer den fuktiga Atlantkusten från inlandets högplatå.
Sierra Nevada i Spanien|Den höga bergskedjan i Andalusien innehåller det spanska fastlandets högsta topp, Mulhacén.
Sierra Madre Occidental|Den västra av Mexikos stora bergskedjor löper ungefär parallellt med Stilla havskusten.
Sierra Madre Oriental|Denna mexikanska kedja ligger längre österut och sträcker sig parallellt med Mexikanska golfens inland.
Pontiska bergen|Denna kedja löper parallellt med Svarta havets sydkust genom norra Turkiet.
Verchojanskbergen|Den avlägsna sibiriska kedjan ligger i östra Sacha och omger områden kända för extrem vinterkyla.
Elburz|Irans högsta berg Damavand ligger i denna kedja söder om Kaspiska havet.
Kunlun|Den stora asiatiska bergskedjan löper längs norra kanten av Tibetplatån i västra Kina.
Transantarktiska bergen|Denna enorma kedja delar i stora drag Östantarktis från Västantarktis och sträcker sig tvärs över kontinenten.
Alperna i Nya Zeeland|Southern Alps löper längs Sydön och innehåller landets högsta berg samt stora glaciärer.
Brooks Range|Denna arktiska bergskedja sträcker sig tvärs över norra Alaska och in i nordvästra Kanada.
Alaska Range|Denali, Nordamerikas högsta berg, ligger i denna bergskedja i centrala Alaska.
Cascades|Den vulkaniska kedjan i nordvästra USA och Kanada innehåller bland annat Mount Rainier, Mount St. Helens och Mount Hood.
Sierra Nevada i USA|Yosemite, Mount Whitney och stora granitmassiv ligger i denna kaliforniska bergskedja öster om Central Valley.
Sikhote-Alin|Bergskedjan i ryska Fjärran Östern löper nära Japanska havet och hyser bland annat amurtiger.
Balkanbergen|Bergskedjan sträcker sig genom Bulgarien och gav sitt namn till hela den sydösteuropeiska Balkanregionen.

@Broar|Vad är
Øresundsbron|Den fasta förbindelsen mellan Malmö och Köpenhamnsområdet kombinerar bro, konstgjord ö och tunnel.
Mostarbron|Den höga stenbågen över Neretva i Bosnien förstördes under 1990-talets krig och byggdes senare upp på nytt.
Mackinac Bridge|Den långa hängbron förbinder Michigans övre och nedre halvö över sundet mellan Lake Michigan och Lake Huron.
Brooklyn Bridge|Den historiska bron över East River öppnade 1883 och band samman Manhattan och Brooklyn med en banbrytande stålkabelkonstruktion.
Sydney Harbour Bridge|Den enorma stålbågen över hamnen invigdes 1932 och ligger nära stadens berömda operahus.
Rialtobron|Den mest kända äldre bron över Canal Grande i Venedig består av en stenbåge med små butiker längs passagen.
Karlsbron|Statyer kantar denna medeltida stenbro över Moldau mellan Gamla stan och Malá Strana i Prag.
Ponte Vecchio|Den gamla bron över Arno i Florens är bebyggd med butiker och överlevde andra världskrigets förstörelse av andra stadsbroar.
Millauviadukten|Den franska motorvägsbron korsar Tarn-dalen på mycket höga pelare och har en vägbana högt över landskapet.
Akashi Kaikyō-bron|Den japanska hängbron mellan Kobeområdet och ön Awaji hade länge världens längsta huvudspann.
Forth Bridge|Den röda skotska järnvägsbron från 1890 använder enorma fribärande stålsektioner över Firth of Forth.
Øresundsförbindelsens Pepparholm|Den konstgjorda ön mitt i den svensk-danska förbindelsen binder samman bron med tunneln och har utvecklat oväntat rik natur.
Vasco da Gama-bron|Den långa bron över Tejofloden öster om Lissabon öppnade 1998 och avlastade den äldre 25 april-bron.
25 april-bron|Den röda hängbron över Tejo i Lissabon påminner visuellt om Golden Gate och bytte namn efter revolutionen 1974.
Confederation Bridge|Den långa bron över Northumberland Strait förbinder Prince Edward Island med fastlandet i Kanada.
Kapellbrücke|Den täckta träbron i Luzern går snett över floden Reuss och innehåller målade triangulära paneler under taket.
Helix Bridge|Den moderna gångbron i Singapore är utformad som en dubbel spiral inspirerad av DNA:s form.
Tsing Ma-bron|Den stora hängbron i Hongkong bär både väg- och järnvägstrafik och är en viktig del av förbindelsen till flygplatsen.
Gateshead Millennium Bridge|Den brittiska gång- och cykelbron vrider hela sin konstruktion som ett ”blinkande öga” för att släppa förbi fartyg.
Magdeburg Water Bridge|I Tyskland går en farbar kanal över floden Elbe på denna ovanliga akveduktbro för båtar.
Pontcysyllteakvedukten|Thomas Telfords smala järnränna bär en kanal högt över Dee-dalen i Wales och trafikeras fortfarande av kanalbåtar.
Eshima Ohashi|Den japanska bron ser extremt brant ut på telefoto men har i verkligheten en betydligt mjukare lutning för att släppa under fartyg.
Sidu River Bridge|Den mycket höga kinesiska hängbron spänner över en djup dal och krävde ovanliga metoder för att dra den första pilotlinan.
Puente Nuevo|Den dramatiska stenbron i Ronda i Spanien spänner över den djupa ravinen El Tajo mellan stadens två delar.
Chengyang vind- och regnbro|Den täckta träbron i Guangxi byggdes av dongfolket med paviljonger och traditionella träfogar utan vanliga metallspikar.

@Slott och palats|Vad är
Versailles|Ludvig XIV byggde ut detta praktfulla komplex utanför Paris till centrum för det franska hovet och absolutismen.
Buckingham Palace|Den brittiske monarkens officiella Londonresidens ligger vid The Mall och är känt för vaktavlösningen.
Windsor Castle|Den enorma kungliga borgen väster om London har använts av brittiska monarker i närmare tusen år.
Schönbrunn|Det habsburgska sommarpalatset i Wien har hundratals rum, stora trädgårdar och en lång gul fasad.
Dolmabahçepalatset|Det praktfulla osmanska palatset från 1800-talet ligger direkt vid Bosporen i Istanbul.
Neuschwanstein|Ludvig II av Bayern lät bygga detta sagolika 1800-talsslott på en bergshöjd nära Alperna.
Vinterpalatset|Det gröna barockpalatset i Sankt Petersburg var de ryska tsarernas residens och är nu en del av Eremitaget.
Topkapipalatset|Osmanska sultaner styrde i århundraden från detta stora palatsområde i Istanbul vid Bosporen och Gyllene hornet.
Himeji slott|Det vita japanska borgkomplexet kallas ibland Vita hägerns slott och är ovanligt välbevarat från feodal tid.
Pena-palatset|Det färgstarka romantiska palatset på en bergstopp i Sintra blandar flera historiska arkitekturstilar.
Pragborg|Det enorma borgområdet ovanför Moldau rymmer bland annat Sankt Vitus-katedralen och den tjeckiske presidentens officiella residens.
Edinburgh Castle|Fästningen ligger på en gammal vulkanisk klippa ovanför den skotska huvudstadens centrum.
Potala-palatset|Det monumentala byggnadskomplexet i Lhasa var länge Dalai Lamas vinterresidens och reser sig på en röd bergskulle.
Hampton Court Palace|Henrik VIII förknippas starkt med detta stora Tudorpalats vid Themsen väster om London.
Château de Chambord|Det franska renässansslottet i Loiredalen har hundratals skorstenar och en berömd dubbelspiraltrappa.
Peterhof|Det ryska palatsområdet vid Finska viken utanför Sankt Petersburg är känt för stora trädgårdar och en spektakulär serie fontäner.
Sanssouci|Fredrik den stores rokokopalats i Potsdam byggdes som ett relativt intimt sommarresidens omgivet av terrasserade vingårdar.
Palacio Real de Madrid|Spaniens kungliga palats används för ceremonier och har fler än tre tusen rum, även om kungafamiljen bor på annan plats.
Forbidden City|Det enorma kejserliga palatsområdet i Peking var centrum för Ming- och Qingdynastiernas hov under nästan femhundra år.
Malbork|Den tyska ordens väldiga tegelborg i dagens Polen räknas till världens största borgkomplex sett till markyta.
Matsumoto slott|Det svarta japanska slottet kallas ibland Kråkans slott och har en av landets äldsta bevarade huvudbyggnader.
Predjama|Den slovenska borgen är delvis byggd direkt in i mynningen på en stor grotta högt i en klippvägg.
Bran slott|Den rumänska borgen marknadsförs ofta med koppling till Dracula trots att sambandet med Vlad III är begränsat.
Eltz|Det tyska medeltidsslottet ligger isolerat i en skogsdal och har ägts av samma släkt i många generationer.
Trakai|Den litauiska tegelborgen ligger på en ö i en sjö nära Vilnius och har återuppbyggts från äldre ruiner.

@Arkitektur|Vad är
en kupol|Den rundade takkonstruktionen kan spänna över stora rum och används i byggnader från Pantheon till moderna arenor.
